name,ingredients,preparation
AGUAYMANTO SOUR N° 1,"2 oz de pisco puro,1 oz de jarabe de goma,1 oz de jugo de aguaymanto (capulí),Clara de huevo,5 cubos de hielo"," Mezclar el pisco, jarabe de goma, jugo de aguaymanto, clara de huevo y los cubos de hielo. Licuar por 30 segundos. Servir en una copa fría."
SOPA DE CABEZA DE CORDERO,"1 cabeza de cordero (preferencia joven),2 1/2 litros de agua,1 1/2 k de papa blanca, en trozos,1 taza de arroz,¼ k de chuño negro,Sal,Ajo,Comino,Pimienta entera,Orégano"," Pelar la cabeza con un cuchillo raspándolo parejo en fuego hasta que este totalemente pelado, sin nada de lana. Lavar bien, utilizando de preferencia un detergente y agua caliente, con un cepillo de ropa y abundante agua. Enjuagar bien con agua para que no tenga olor a detergente y asegurarse que no haya nada de residuos en los dientes.

Partir la cabeza en 6 partes de tal manera que hayan 2 orejas, 2 ojos y 2 quijadas. Colocar los trozos en una olla con agua, ajos, sal y pimienta entera. Llevar a hervir aproximadamente por 1/2 hora.

Agregar, luego la papa y el arroz y seguir cocinando por otros 10 minutos. Agregar, luego, el chuño y cocinar 10 minutos mas. Al final agregarle orégano.

Servir en platos hondos y decorar con ramitas de cebolla china.

Plato típico de Juliaca en el departamento de Puno.
"
SOPA SECA,"1/2 gallina cortada en presas (un kilo aprox.),6 cucharadas de aceite,1 taza de cebolla picada,2 cucharadas de ajos molidos,3/4 taza de ají panca molida,6 cucharadas de perejil picado,3/4 taza de albahaca molida,2 tazas de zanahoria rallada,1 taza de vino dulce,1 cucharada de azúcar,2 litros de agua,1 kilo de tallarines delgados,1/3 taza de pasas negras,10 aceitunas,Sal, pimienta y comino al gusto"," Fría en aceite caliente las presas de gallina para sellarlas. Reserve. En el mismo aceite guise la cebolla, los ajos, la sal, la pimienta, el comino y el ají panca. Incorpore el perejil, la albahaca y la zanahoria. Incluya la gallina, el vino, el azúcar, el agua y cocine durante 50 minutos hasta que el ave esté tierna. Retire las presas e incorpore los fideos, las pasas y las aceitunas y cocine en el mismo caldo hasta que se cuezan. Sirva.

Receta del Sra. Maria Isabel Gonzáles Cárdenas de Díaz. (Lima - AFP Horizonte).
Ganadora del 1er Puesto en el concurso organizado por la Asociación de AFP, Perú.
"
SOPA SECA FACIL,"1 k de fideos gruesos, cocidos al dente,2 cucharadas de aceite,2 cucharadas de mantequilla,3 tomates, pelados, sin semillas y picado,11/2 cucharadita de sazonador,1 cucharada de pimentón o páprika,3 dientes de ajo molidos,Sal,Pimienta"," Calentar aceite con la mantequilla en una olla y freír los ajos. Agregar los tomates, el pimentón y el sazonador y cocinar. Sazonar con sal y pimientas.
Una vez que el aderezo esté listo agregar los fideos y mezclar.

Servir caliente.
"
SOPA DE CHICHA MORADA,"6 tazas de chicha morada sin azúcar,2 1/2 cucharadas de harina de camote,4 1/2 cucharadas de azúcar,3 1/2 cucharadas de jugo de limón,24 uvas sin pepa, peladas"," Deshacer la harina de camote en 1/2 taza de la chicha morada. Colocar en una olla junto con el resto de la chicha y llevar a hervir por unos minutos, moviendo constantemente.
Agregar el azúcar y el jugo de limón. Remover y enfriar.
Servir fría con 6 uvas en cada plato y 2 adoquines de hielo.
"
SOPA DE CHOROS O MEJILLONES ,"48 choros cocidos al vapor,2 tazas de vino blanco seco,1 cebolla mediana, finamente picada,½ taza de hojas de apio, picadas,2 dientes de ajo, pelados y picados,3 ramas de perejil,1 hoja de laurel,1 rama de tomillo fresco, o ¼ de cucharadita si es tomillo seco,Pimienta,Sal,4 cucharadas de mantequilla,1 cucharada de aceite vegetal,2 zanahorias medianas peladas y picadas en cuadritos,2 poros medianos (parte blanca) lavado y picado en cuadritos,2 cebollas blancas medianas peladas y picadas en cuadritos,2 cucharadas de cebollita china (sólo parte blanca),½ diente de ajo molido,2 tomates medianos, pelados sin semillas y picados en cuadritos,3 cucharadas de cáscara de naranja, solo parte amarilla, finamente picada,½ taza de jugo de naranja fresco,2 ½ taza de Caldo de Choros (receta a continuación),1 taza de vino blanco seco,1 taza de crema de leche espesa,Pimienta roja de cayena ( reemplazar por Pimienta negra molida),¼ de taza de cebollino, finamente picado,¼ de taza de croutones para servir aparte (opcional)","Caldo de Choros:Limpiar bien los choros y descartar cualquier choro que esté abierto y que no cierre al ponerlo al agua. Raspar los choros con un cuchillo y frotarlos con un cepillo duro bajo el chorro de agua. Retirar las barbas.
Echar 2 tazas de vino blanco en una olla grande que tenga tapa. Agregar los choros, cebolla, apio, ajos, perejil, laurel y tomillo y llevarla a hervir. Tapar herméticamente y esperar 2 minutos. Sujetando la tapa con las manos, sacudir la olla y regresarla inmediatamente al fuego. Sacudir la olla 2 veces más a intervalos de 1 minuto. Después de 4 minutos totales de cocimiento, retirar la tapa, sacar los choros que se hayan abierto y colocarlos en un tazón aparte. Colar el líquido y utilizar este caldo de choros. Rinde 2 ½ tazas aproximadamente.
Tan pronto como los choros estén suficientemente fríos, retirarlos de sus conchas y ponerlos en un tazón aparte. 
Calentar 2 cucharadas de mantequilla y el aceite en una sartén a fuego medio hasta que esté caliente. 
Agregar las zanahorias y saltearlas junto con el poro, cebollas, cebollita china picada y el ajo molido. 
Reducir el fuego y cocinar tapado por aproximadamente 3 minutos, moviendo de vez en cuando. Los vegetales deben estar cocidos pero aún crocantes. Agregar los tomates, la cáscara de naranja y el jugo de naranja. Cocinar tapado por 3 minutos. Retirar del fuego y separar.
Sopa de Choros:En una olla de 4 litros de capacidad poner el caldo de choros colado con el vino y llevar a hervir a fuego lento. Mezclarle la crema de leche gradualmente. Sazonar con pimienta y cocinar por 10 minutos más para reducir ligeramente la sopa.
Agregarle los vegetales reservados. Mezclar los choros y agregar las 2 cucharadas de mantequilla (una por una) mezclando con cuidado después de cada adición. Calentar la sopa no más de 3 minutos.
Servirla y salpicarle encima cebollino y perejil picados. Servir con croutones si se desea.
"
SOPA DE PALLARES ,"400 g (14 oz) de pallares,1 trozo de tocino,3 ½ litros de agua,4 cucharadas de aceite,2 poros picados, parte blanca y verde clara,3 ajos molidos,3 ramas de apio, finamente picado,Sal,Pimienta,1 zanahoria mediana, pelada y cocida, picada en cuadritos,½ taza de queso parmesano, rallado,Orégano"," Remojar los pallares en agua que los cubra desde el día anterior. Pelarlos y ponerlos a cocinar en agua caliente con un trozo de tocino. Una vez cocidos pasar por un colador fino o licuar. Separar el tocino y picar.
Calentar el aceite en una olla y freír los poros, el apio, ajos molidos, el tocino en que se cocinaron los pallares, sal y pimienta. Agregar los pallares y llevar a hervir unos minutos antes de servir.
Servir en platos de sopa. Salpicar encima la zanahoria en cuadritos, el queso parmesano y el orégano picado.
"
SOPA BRUTA ,"1 k (2 lb 4 oz) de carne de res, cortada en trozos,1 ½ k (3 lb 5 oz) de yuca, pelada,100 g (3 ½ oz) de,½ k (1 lb 2 oz) de zanahoria rallada,300 g (10 ½ oz) de tomates, pelados, despepitados y picados,100 g (3 ½ oz) de ajos triturados o molidos,½ k ( 1 lb 2 oz) de cebolla, finamente picada,4 litros (16 tazas) de agua,1 rama de apio,1 poro,¼ de taza de aceite,250 g (9 oz) de fideos,1 cucharada de albahaca licuada,1 hoja de laurel,1 cucharadita de hongo seco, picado,1 cucharada de comino,1 cubito de caldo concentrado de carne,Sal,Pimienta"," Cocinar la yuca en agua con sal y llevarla a hervir hasta que esté tierna. Retirarla del agua y cortarla en trozos medianos.
Colocar en una olla grande los trozos de carne con el agua, el apio y el poro. Cuando esté cocida la carne, agregar 1 cucharada de sal y dejar hervir hasta que la carne esté bien suave. Retirar las verduras y la carne. Rectificar la sal del caldo..
Aparte dorar las cebollas y el ajo en el aceite hasta que estén cocidas y transparentes. Agregar el ají molido, el tomate, laurel, hongos, comino, zanahoria y albahaca. Mezclar hasta que el aderezo esté bien cocido. Reservar 1 taza de este aderezo y mezclarlo con la carne reservada. Separar..
El resto del aderezo mezclarlo con el caldo y llevar a hervir. Agregar los fideos y dejarlos cocinar..
Servir en un plato hondo la sopa con los fideos. Colocar encima los trozos de carne y la yuca.
"
SOPA HUACHANA,"1 k de carne de pecho de res o carne de cadera (cuadril), limpia y cortada en trozos,Caldo de ½ k de huesos de res (cubrir con agua y hervir con poro, apio y zanahoria),1 k de papa blanca,500 g de fideos cabello de ángel,3 cucharadas de aceite,6 dientes de ajo, finamente picado,2 - 3 cebollas, picadas,2 tomates, pelados y picados,Orégano seco,2 cucharadas de ají amarillo molido,Hojas de hierbabuena, picada,Sal,Pimienta"," Calentar el aceite en una olla, agregar la cebolla y dejar que se cocine unos minutos. Agregar luego el ajo, el tomate, el orégano, la sal, pimienta, el ají molido y la carne de res en trozos. Dejar cocinar unos minutos y agregar el caldo preparado con los huesos de res. Llevar a hervir y agregar las papas peladas y cortadas por mitad. Cocinar hasta que estén suaves.

Poco antes de servir se agregan los fideos cabello de ángel. Cuando estén cocidos espolvorear la sopa con las hojas de hierbabuena. Rectificar la sazón. Dejar reposar 5 minutos y servir.
"
SOPA CRIOLLA,"500 g (1 lb 4 oz) de carne de bistec (cadera, cabeza de lomo o similar), finamente picada,Aceite vegetal, la cantidad necesaria,1 ½ cebolla mediana, picada muy finamente o rallada,4 dientes de ajo, molidos,5 tomates, pelados y sin semillas, rallados,1 ½ cucharadas de pasta de tomate,2 Ajíes mirasol enteros y soasados (calentar en sarten u horno por unos minutos),2 litros de caldo oscuro de carne,80 g (3 oz) de cabello de angel,½ taza de leche evaporada,4 – 6 huevos (1 por persona),2 cucharadas de vinagre blanco,Sal,Pimienta,Orégano seco"," Sazonar la carne con sal y pimienta. Calentar aceite en una sartén hasta que esté caliente. Agregar la carne y freírla ligeramente. 
Agregar la cebolla, los ajos y cocinar hasta que estén tiernos y se hayan dorado. Incorporar luego los tomates y los ajíes enteros. 
Seguir cocinando hasta que se haya evaporado la mayor parte del líquido. Agregar la pasta de tomates y mezclar. Incorporar el caldo y llevar a hervir unos minutos. Agregar los fideos y hervir hasta que estén cocidos y por último agregar la leche. Calentar antes de servir.
Aparte escalfar los huevos en agua a punto de hervir con sal y vinagre. 
Servir la sopa en un plato y colocarle 1 huevo por plato. Espolvorear encima con orégano.

6 personas
 "
